dataset,epsilon,method,robust_accuracy,avg_time,avg_margin,total_samples,safe_count,unsafe_count,unknown_count,training_method
MNIST,0.01,αβ-CROWN,100.0,0.47418091297149656,,20,20,0,0,IBP
MNIST,0.02,αβ-CROWN,100.0,0.4716983914375305,,20,20,0,0,IBP
MNIST,0.03,αβ-CROWN,100.0,0.47838335037231444,,20,20,0,0,IBP
MNIST,0.05,αβ-CROWN,100.0,0.4719818353652954,,20,20,0,0,IBP
MNIST,0.1,αβ-CROWN,100.0,0.4840642213821411,,20,20,0,0,IBP
MNIST,0.01,αβ-CROWN,100.0,0.4736486911773682,,20,20,0,0,CROWN
MNIST,0.02,αβ-CROWN,100.0,0.47238945960998535,,20,20,0,0,CROWN
MNIST,0.03,αβ-CROWN,100.0,0.47467968463897703,,20,20,0,0,CROWN
MNIST,0.05,αβ-CROWN,100.0,0.47606533765792847,,20,20,0,0,CROWN
MNIST,0.1,αβ-CROWN,100.0,0.4803208112716675,,20,20,0,0,CROWN
